"Tiempo (s) Run #1,""Voltaje (V) Run #1"",""Tiempo (s) Run #2"",""Voltaje (V) Run #2"",""Tiempo (s) Run #3"",""Voltaje (V) Run #3"",""Tiempo (s) Run #4"",""Voltaje (V) Run #4"""
,,42.500,-0.010,,,42.500,0.020
,,42.600,-0.010,,,42.600,0.020
,,42.700,-0.010,,,42.700,0.019
,,42.800,-0.010,,,42.800,0.020
,,42.900,-0.010,,,42.900,0.019
,,43.000,-0.010,,,43.000,0.020
,,43.100,-0.010,,,43.100,0.019
,,43.200,-0.010,,,43.200,0.019
,,43.300,-0.010,,,43.300,0.020
,,43.400,-0.010,,,43.400,0.019
,,43.500,-0.010,,,43.500,0.020
,,43.600,-0.009,,,43.600,0.019
,,43.700,-0.007,,,43.700,0.019
,,43.800,-0.009,,,43.800,0.020
,,43.900,-0.008,,,43.900,0.020
,,44.000,-0.008,,,44.000,0.020
,,44.100,-0.009,,,44.100,0.019
,,44.200,-0.009,,,44.200,0.019
,,44.300,-0.009,,,44.300,0.019
,,44.400,-0.009,,,44.400,0.019
,,44.500,-0.010,,,44.500,0.019
,,44.600,-0.010,,,44.600,0.019
,,44.700,-0.010,,,44.700,0.019
,,44.800,-0.010,,,44.800,0.020
,,44.900,-0.010,,,44.900,0.018
,,45.000,-0.010,,,45.000,0.018
,,45.100,-0.010,,,45.100,0.019
,,45.200,-0.010,,,45.200,0.018
,,45.300,-0.010,,,45.300,0.018
,,45.400,-0.009,,,45.400,0.018
,,45.500,-0.009,,,45.500,0.018
,,45.600,-0.010,,,45.600,0.018
,,45.700,-0.010,,,45.700,0.018
,,45.800,-0.010,,,45.800,0.017
,,45.900,-0.010,,,45.900,0.018
,,46.000,-0.011,,,46.000,0.018
,,46.100,-0.011,,,46.100,0.018
,,46.200,-0.010,,,46.200,0.018
,,46.300,-0.010,,,46.300,0.018
,,46.400,-0.010,,,46.400,0.016
,,46.500,-0.010,,,46.500,0.018
,,46.600,-0.007,,,46.600,0.016
,,46.700,-0.005,,,46.700,0.018
,,46.800,-0.001,,,46.800,0.016
